State,County,CountyFIPS,Diagnosed,Obesity,PhysicalInactivity,Population_Aged_65_or_Older,Population_Below_Poverty,Population_Children_in_Poverty,Population_Enrolled_in_Free_or_Reduced_Lunch,Population_Food_Insecurity,Population_Minority,Population_No_Health_Insurance,Population_No_High_School_Diploma,Number_of_Primary_Care_Physicians,Newly_Diagnosed,Crowding,Unemployed,Severe_Housing_Cost_Burden,Overall_Household_Composition_&_Disability,Overall_Housing_Type_&_Transportation
Georgia,Dawson County,8037.0,2193.1,7042.3,5666.2,0.6428,0.1166,12.6,42.93956044,10.7,0.2518,12.1,0.6004,18.0,152.6,0.518,0.2455,8.2826086957,0.1465,0.0907
Indiana,Lagrange County,12059.0,2195.9,5216.2,5456.8,0.1121,0.0592,12.5,41.117130581,9.0,0.1678,40.9,0.9962,10.0,188.5,0.865,0.0777,6.3579017264,0.1484,0.44
Virginia,Gloucester County,37015.0,2196.8,5232.8,3705.4,0.5215,0.1048,11.7,39.332830758,9.5,0.4718,6.7,0.4164,21.0,286.1,0.0981,0.1124,9.1473509934,0.1643,0.0331
Indiana,Johnson County,38105.0,2201.4,8818.6,5078.3,0.1614,0.1166,7.9,37.252992932,9.9,0.3524,6.9,0.1971,130.0,176.6,0.3703,0.2745,8.8768978469,0.2942,0.1891
South Carolina,Union County,55093.0,2204.4,8126.0,4043.3,0.6323,0.8427,24.3,100.0,13.8,0.7494,10.5,0.7966,11.0,196.8,0.4817,0.7895,8.8086708919,0.9417,0.7205
Illinois,Rock Island County,21231.0,2206.6,5732.0,5192.6,0.5215,0.5006,18.8,59.292195188,10.9,0.6699,5.2,0.4276,72.0,163.1,0.518,0.6697,10.420695505,0.6517,0.7816
New Mexico,Luna County,51105.0,2210.9,5236.3,5120.2,0.731,0.972,34.6,100.0,21.4,0.9659,8.6,0.9885,8.0,258.3,0.6049,0.9694,12.366763566,0.9497,0.9768
Pennsylvania,Potter County,41061.0,2211.2,6458.9,3260.7,0.8539,0.4653,19.7,45.236932096,13.4,0.0369,6.8,0.4852,7.0,188.1,0.0981,0.6831,10.667918035,0.6928,0.2875
South Dakota,Mccook County,47185.0,2213.0,5648.7,4349.6,0.5635,0.1854,10.7,25.592417062,8.7,0.1802,9.1,0.5113,1.0,221.7,0.2604,0.2188,7.1222329163,0.4117,0.1882
Michigan,Luce County,12123.0,2213.8,5901.3,5521.1,0.7456,0.6258,29.4,58.987783595,16.3,0.5915,4.7,0.4925,7.0,151.7,0.0567,0.5344,8.6560364465,0.3002,0.5075
Tennessee,Maury County,39075.0,2213.9,5719.7,5355.9,0.2359,0.336,12.5,46.487048428,10.7,0.5696,8.7,0.3935,52.0,87.5,0.5498,0.449,9.8294329957,0.4139,0.3792
Michigan,Montcalm County,22031.0,2214.8,5906.8,4524.4,0.3451,0.6194,18.3,63.2667067,13.9,0.2843,7.6,0.4989,25.0,266.3,0.4457,0.4303,9.3997445722,0.7367,0.7233
Kentucky,Logan County,35017.0,2216.2,6355.0,3815.2,0.4715,0.6707,21.1,56.695842451,13.6,0.384,7.1,0.6883,8.0,147.8,0.1888,0.5172,10.017063134,0.7042,0.2534
Oklahoma,Murray County,38059.0,2216.7,7136.6,4695.7,0.5817,0.5076,19.7,58.504176158,16.0,0.6616,13.9,0.7227,4.0,179.3,0.8198,0.2188,6.0072815534,0.9271,0.6262
Oregon,Curry County,47069.0,2219.4,5845.5,5768.5,0.993,0.4799,21.2,50.996898538,13.8,0.4358,6.1,0.4164,15.0,361.0,0.1223,0.8341,12.5522218,0.4807,0.4776
